,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Cluster
0,Sketch,40 Winks,0.676,0.407,8,-16.932,1,0.152,0.308,0.939,0.11,0.372,89.955,160620,4,3
1,EK ISHQ EK ROOH,Sufi Parveen,0.674,0.609,2,-7.849,1,0.167,0.0339,0,0.128,0.377,106.91,266203,4,4
2,ComfyCozy,Luke Vibert,0.448,0.226,7,-16.805,1,0.0515,0.939,0.905,0.0806,0.0785,168.081,301714,4,1
3,See You Later Fuckface,The Queers,0.51,0.952,7,-4.753,1,0.0347,0.000464,7.87e-05,0.301,0.856,98.973,118520,4,4
4,Stop Running,cerulean,0.713,0.69,7,-7.387,1,0.206,0.356,0,0.0826,0.46,79.987,135168,4,8
5,Threnos: Den Opfern von Hiroshima,"Krzysztof Penderecki', 'Dresdner Philharmonie', 'Rundfunk-Sinfonieorchester Leipzig', 'Herbert Kegel",0.0965,0.354,5,-20.77,0,0.0981,0.797,0.519,0.102,0.0368,71.326,517040,3,1
6,Cid's Theme,TPR,0.389,0.488,3,-11.458,1,0.0329,0.191,0.939,0.457,0.155,89.643,191067,4,3
7,Distant Drums Of War,Echo Kraft,0.568,0.702,7,-14.809,1,0.052,0.539,0.708,0.0985,0.414,109.998,368516,4,3
8,Better Days,Tim Grimm,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657,4,6
9,When Love Has Gone Away (feat. Diva Avari),Uku Kuut,0.801,0.453,0,-10.726,1,0.0912,0.418,0.00277,0.214,0.698,125.003,432080,4,4
10,Pennies from Heaven - Live,Louis Armstrong,0.475,0.542,10,-12.461,0,0.381,0.472,1.31e-06,0.951,0.656,121.578,221987,4,0
11,A Noble Direction,"Steve Roach', 'Byron Metcalf",0.51,0.454,8,-23.947,1,0.0386,0.422,0.846,0.135,0.48,82.995,592973,4,3
12,Hot Shit - Feat. Pat Rich,Triple Dose,0.816,0.791,1,-8.092,1,0.085,0.0256,1.62e-05,0.0568,0.68,124.553,323800,4,4
13,"Pieces de clavecin, Book 1: 1st Ordre in G Minor-major: Les Silvains","François Couperin', 'Laurence Cummings",0.0896,0.297,6,-20.032,1,0.0362,0.787,0.913,0.0931,0.517,53.784,273667,4,1
14,Discovery,Tracksonix,0.225,0.113,5,-21.764,1,0.0407,0.923,0.971,0.129,0.0324,111.59,118564,4,1
15,Tot Bloedens Toe,"Frank Boeijen', 'Jack-O",0.549,0.409,6,-9.984,0,0.0923,0.853,2.2e-06,0.97,0.35,83.118,379840,4,0
16,Living With The Black Dog,Emma Ruth Rundle,0.289,0.249,4,-9.833,1,0.0347,0.127,0.264,0.337,0.0487,123.412,282645,4,7
17,I Love the Night,Blue Öyster Cult,0.693,0.708,0,-7.816,1,0.031,0.309,0.00305,0.0857,0.949,125.315,187973,4,4
18,Monty Zoomers,Whiney,0.474,0.91,8,-3.346,0,0.04,0.000842,0.878,0.0929,0.151,174.982,272914,4,3
19,Terror Paradise,Taragana Pyjarama,0.444,0.378,2,-5.89,1,0.0365,0.886,0.000254,0.118,0.219,174.085,103450,4,7
20,Midnite Hour,Becky Barksdale,0.814,0.546,10,-4.925,0,0.229,0.0234,0,0.0654,0.682,93.802,224253,4,6
21,"Al-Salam Al-Amiri (The Peace for the Amir) (Olympic version) (Qatar): Qatar [Al-Salam Al-Amiri (The Peace for the Amir), ""Swearing by God who erected the sky…""] (Olympic)","Slovak Radio Symphony Orchestra', 'Peter Breiner",0,0,0,0,0,0,0,0,0,0,0,0,0,2
22,"Sugar, Sugar - En Vivo En Buenos Aires",The Skatalites,0.534,0.572,0,-10.393,1,0.0582,0.466,3.8e-05,0.709,0.725,88.336,300387,4,0
23,Software,Nick Lutsko,0.777,0.627,1,-7.45,1,0.184,0.00371,3.14e-06,0.177,0.237,98.09,79149,4,4
24,"Der Tag der ist so freudenreich, BuxWV 182","Dietrich Buxtehude', 'Bine Bryndorf",0.0666,0.0154,8,-25.823,1,0.0504,0.735,0.805,0.097,0.139,75.587,207867,4,1
