,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Sketch,40 Winks,0.676,0.407,8,-16.932,1,0.152,0.308,0.939,0.11,0.372,89.955,audio_features,5nxEHnue5hDtbbubvyZRUe,spotify:track:5nxEHnue5hDtbbubvyZRUe,https://api.spotify.com/v1/tracks/5nxEHnue5hDtbbubvyZRUe,https://api.spotify.com/v1/audio-analysis/5nxEHnue5hDtbbubvyZRUe,160620,4
1,EK ISHQ EK ROOH,Sufi Parveen,0.674,0.609,2,-7.849,1,0.167,0.0339,0,0.128,0.377,106.91,audio_features,7APDIJISP2CeFxOo6D7G1A,spotify:track:7APDIJISP2CeFxOo6D7G1A,https://api.spotify.com/v1/tracks/7APDIJISP2CeFxOo6D7G1A,https://api.spotify.com/v1/audio-analysis/7APDIJISP2CeFxOo6D7G1A,266203,4
2,ComfyCozy,Luke Vibert,0.448,0.226,7,-16.805,1,0.0515,0.939,0.905,0.0806,0.0785,168.081,audio_features,6jjO7ZCiBS2jsr4vJ2icHZ,spotify:track:6jjO7ZCiBS2jsr4vJ2icHZ,https://api.spotify.com/v1/tracks/6jjO7ZCiBS2jsr4vJ2icHZ,https://api.spotify.com/v1/audio-analysis/6jjO7ZCiBS2jsr4vJ2icHZ,301714,4
3,See You Later Fuckface,The Queers,0.51,0.952,7,-4.753,1,0.0347,0.000464,7.87e-05,0.301,0.856,98.973,audio_features,6SQdbrDRS5q7WVnsOK27Fy,spotify:track:6SQdbrDRS5q7WVnsOK27Fy,https://api.spotify.com/v1/tracks/6SQdbrDRS5q7WVnsOK27Fy,https://api.spotify.com/v1/audio-analysis/6SQdbrDRS5q7WVnsOK27Fy,118520,4
4,Stop Running,cerulean,0.713,0.69,7,-7.387,1,0.206,0.356,0,0.0826,0.46,79.987,audio_features,2GBnuS0pIfmIxInNCdxAZ2,spotify:track:2GBnuS0pIfmIxInNCdxAZ2,https://api.spotify.com/v1/tracks/2GBnuS0pIfmIxInNCdxAZ2,https://api.spotify.com/v1/audio-analysis/2GBnuS0pIfmIxInNCdxAZ2,135168,4
5,Threnos: Den Opfern von Hiroshima,"Krzysztof Penderecki', 'Dresdner Philharmonie', 'Rundfunk-Sinfonieorchester Leipzig', 'Herbert Kegel",0.0965,0.354,5,-20.77,0,0.0981,0.797,0.519,0.102,0.0368,71.326,audio_features,6I3PF4Ty79b2Pc0W0bT4iP,spotify:track:6I3PF4Ty79b2Pc0W0bT4iP,https://api.spotify.com/v1/tracks/6I3PF4Ty79b2Pc0W0bT4iP,https://api.spotify.com/v1/audio-analysis/6I3PF4Ty79b2Pc0W0bT4iP,517040,3
6,Cid's Theme,TPR,0.389,0.488,3,-11.458,1,0.0329,0.191,0.939,0.457,0.155,89.643,audio_features,7EyrJ4OETpMPZIw1UtOHTz,spotify:track:7EyrJ4OETpMPZIw1UtOHTz,https://api.spotify.com/v1/tracks/7EyrJ4OETpMPZIw1UtOHTz,https://api.spotify.com/v1/audio-analysis/7EyrJ4OETpMPZIw1UtOHTz,191067,4
7,Distant Drums Of War,Echo Kraft,0.568,0.702,7,-14.809,1,0.052,0.539,0.708,0.0985,0.414,109.998,audio_features,0SssKakV7gkhuLCU7SFx2v,spotify:track:0SssKakV7gkhuLCU7SFx2v,https://api.spotify.com/v1/tracks/0SssKakV7gkhuLCU7SFx2v,https://api.spotify.com/v1/audio-analysis/0SssKakV7gkhuLCU7SFx2v,368516,4
8,Better Days,Tim Grimm,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,audio_features,6f5ExP43esnvdKPddwKXJH,spotify:track:6f5ExP43esnvdKPddwKXJH,https://api.spotify.com/v1/tracks/6f5ExP43esnvdKPddwKXJH,https://api.spotify.com/v1/audio-analysis/6f5ExP43esnvdKPddwKXJH,160657,4
9,When Love Has Gone Away (feat. Diva Avari),Uku Kuut,0.801,0.453,0,-10.726,1,0.0912,0.418,0.00277,0.214,0.698,125.003,audio_features,0GWN9UWcpraUcA6T4dDzTr,spotify:track:0GWN9UWcpraUcA6T4dDzTr,https://api.spotify.com/v1/tracks/0GWN9UWcpraUcA6T4dDzTr,https://api.spotify.com/v1/audio-analysis/0GWN9UWcpraUcA6T4dDzTr,432080,4
10,Pennies from Heaven - Live,Louis Armstrong,0.475,0.542,10,-12.461,0,0.381,0.472,1.31e-06,0.951,0.656,121.578,audio_features,0lBiVvEhpLmFUHxwywKhxu,spotify:track:0lBiVvEhpLmFUHxwywKhxu,https://api.spotify.com/v1/tracks/0lBiVvEhpLmFUHxwywKhxu,https://api.spotify.com/v1/audio-analysis/0lBiVvEhpLmFUHxwywKhxu,221987,4
11,A Noble Direction,"Steve Roach', 'Byron Metcalf",0.51,0.454,8,-23.947,1,0.0386,0.422,0.846,0.135,0.48,82.995,audio_features,4wlIJjQtx1prXtQiJbl9Rc,spotify:track:4wlIJjQtx1prXtQiJbl9Rc,https://api.spotify.com/v1/tracks/4wlIJjQtx1prXtQiJbl9Rc,https://api.spotify.com/v1/audio-analysis/4wlIJjQtx1prXtQiJbl9Rc,592973,4
12,Hot Shit - Feat. Pat Rich,Triple Dose,0.816,0.791,1,-8.092,1,0.085,0.0256,1.62e-05,0.0568,0.68,124.553,audio_features,6ZS3rUvPm4frLtYv1ORzCv,spotify:track:6ZS3rUvPm4frLtYv1ORzCv,https://api.spotify.com/v1/tracks/6ZS3rUvPm4frLtYv1ORzCv,https://api.spotify.com/v1/audio-analysis/6ZS3rUvPm4frLtYv1ORzCv,323800,4
13,"Pieces de clavecin, Book 1: 1st Ordre in G Minor-major: Les Silvains","François Couperin', 'Laurence Cummings",0.0896,0.297,6,-20.032,1,0.0362,0.787,0.913,0.0931,0.517,53.784,audio_features,1zXKvhYh8CLTAT7nVQa33g,spotify:track:1zXKvhYh8CLTAT7nVQa33g,https://api.spotify.com/v1/tracks/1zXKvhYh8CLTAT7nVQa33g,https://api.spotify.com/v1/audio-analysis/1zXKvhYh8CLTAT7nVQa33g,273667,4
14,Discovery,Tracksonix,0.225,0.113,5,-21.764,1,0.0407,0.923,0.971,0.129,0.0324,111.59,audio_features,1Pb9LjZPyCYS8MugEVxk9U,spotify:track:1Pb9LjZPyCYS8MugEVxk9U,https://api.spotify.com/v1/tracks/1Pb9LjZPyCYS8MugEVxk9U,https://api.spotify.com/v1/audio-analysis/1Pb9LjZPyCYS8MugEVxk9U,118564,4
15,Tot Bloedens Toe,"Frank Boeijen', 'Jack-O",0.549,0.409,6,-9.984,0,0.0923,0.853,2.2e-06,0.97,0.35,83.118,audio_features,1wmpTSOHlwgdG0kWCHDwgF,spotify:track:1wmpTSOHlwgdG0kWCHDwgF,https://api.spotify.com/v1/tracks/1wmpTSOHlwgdG0kWCHDwgF,https://api.spotify.com/v1/audio-analysis/1wmpTSOHlwgdG0kWCHDwgF,379840,4
16,Living With The Black Dog,Emma Ruth Rundle,0.289,0.249,4,-9.833,1,0.0347,0.127,0.264,0.337,0.0487,123.412,audio_features,22XkAUSviWJ5QSrLGpuG2z,spotify:track:22XkAUSviWJ5QSrLGpuG2z,https://api.spotify.com/v1/tracks/22XkAUSviWJ5QSrLGpuG2z,https://api.spotify.com/v1/audio-analysis/22XkAUSviWJ5QSrLGpuG2z,282645,4
17,I Love the Night,Blue Öyster Cult,0.693,0.708,0,-7.816,1,0.031,0.309,0.00305,0.0857,0.949,125.315,audio_features,6c0G8K6G2LlIfJTsRLJjfs,spotify:track:6c0G8K6G2LlIfJTsRLJjfs,https://api.spotify.com/v1/tracks/6c0G8K6G2LlIfJTsRLJjfs,https://api.spotify.com/v1/audio-analysis/6c0G8K6G2LlIfJTsRLJjfs,187973,4
18,Monty Zoomers,Whiney,0.474,0.91,8,-3.346,0,0.04,0.000842,0.878,0.0929,0.151,174.982,audio_features,1PoZH33EGyW5aTWEFRKKWe,spotify:track:1PoZH33EGyW5aTWEFRKKWe,https://api.spotify.com/v1/tracks/1PoZH33EGyW5aTWEFRKKWe,https://api.spotify.com/v1/audio-analysis/1PoZH33EGyW5aTWEFRKKWe,272914,4
19,Terror Paradise,Taragana Pyjarama,0.444,0.378,2,-5.89,1,0.0365,0.886,0.000254,0.118,0.219,174.085,audio_features,6iw7UxPkRaZiHr8QOM9siL,spotify:track:6iw7UxPkRaZiHr8QOM9siL,https://api.spotify.com/v1/tracks/6iw7UxPkRaZiHr8QOM9siL,https://api.spotify.com/v1/audio-analysis/6iw7UxPkRaZiHr8QOM9siL,103450,4
20,Midnite Hour,Becky Barksdale,0.814,0.546,10,-4.925,0,0.229,0.0234,0,0.0654,0.682,93.802,audio_features,1UWroeKV5o2KbCCVkdgLLE,spotify:track:1UWroeKV5o2KbCCVkdgLLE,https://api.spotify.com/v1/tracks/1UWroeKV5o2KbCCVkdgLLE,https://api.spotify.com/v1/audio-analysis/1UWroeKV5o2KbCCVkdgLLE,224253,4
21,"Al-Salam Al-Amiri (The Peace for the Amir) (Olympic version) (Qatar): Qatar [Al-Salam Al-Amiri (The Peace for the Amir), ""Swearing by God who erected the sky…""] (Olympic)","Slovak Radio Symphony Orchestra', 'Peter Breiner",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
22,"Sugar, Sugar - En Vivo En Buenos Aires",The Skatalites,0.534,0.572,0,-10.393,1,0.0582,0.466,3.8e-05,0.709,0.725,88.336,audio_features,5vJbsRctIbVCajme4xTslk,spotify:track:5vJbsRctIbVCajme4xTslk,https://api.spotify.com/v1/tracks/5vJbsRctIbVCajme4xTslk,https://api.spotify.com/v1/audio-analysis/5vJbsRctIbVCajme4xTslk,300387,4
23,Software,Nick Lutsko,0.777,0.627,1,-7.45,1,0.184,0.00371,3.14e-06,0.177,0.237,98.09,audio_features,3qKJ3Z5fnrecJmmpdMtGl0,spotify:track:3qKJ3Z5fnrecJmmpdMtGl0,https://api.spotify.com/v1/tracks/3qKJ3Z5fnrecJmmpdMtGl0,https://api.spotify.com/v1/audio-analysis/3qKJ3Z5fnrecJmmpdMtGl0,79149,4
